NelsonMountainTuff,RatCreekTuff,CebollaCreekTuff,SnowshoeMountainTuff,support,precision,recall,local_f1,micro f1,macro f1,weighted f1,iteration,drop
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,no_drop
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,no_drop
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,no_drop
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,0,no_drop
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,plag
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,plag
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,plag
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,0,plag
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,san
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,san
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,san
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,0,san
76,23,0,1,100,0.987012987012987,0.76,0.8587570621468925,0.9275,0.9273515419010132,0.9273515419010132,0,biot
0,100,0,0,100,0.7874015748031497,1.0,0.881057268722467,0.9275,0.9273515419010132,0.9273515419010132,0,biot
0,4,96,0,100,1.0,0.96,0.979591836734694,0.9275,0.9273515419010132,0.9273515419010132,0,biot
1,0,0,99,100,0.99,0.99,0.99,0.9275,0.9273515419010132,0.9273515419010132,0,biot
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,cpx
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,cpx
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,cpx
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,0,cpx
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,glass_maj
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,glass_maj
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,glass_maj
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,0,glass_maj
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,glass_tr
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,glass_tr
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,glass_tr
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,0,glass_tr
100,0,0,0,100,1.0,1.0,1.0,0.9975,0.9974999374984376,0.9974999374984376,0,horn
0,99,1,0,100,1.0,0.99,0.9949748743718592,0.9975,0.9974999374984376,0.9974999374984376,0,horn
0,0,100,0,100,0.99009900990099,1.0,0.9950248756218906,0.9975,0.9974999374984376,0.9974999374984376,0,horn
0,0,0,100,100,1.0,1.0,1.0,0.9975,0.9974999374984376,0.9974999374984376,0,horn
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,zinc
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,zinc
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,zinc
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,0,zinc
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,no_drop
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,no_drop
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,no_drop
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,1,no_drop
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,plag
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,plag
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,plag
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,1,plag
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,san
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,san
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,san
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,1,san
88,0,0,12,100,0.9887640449438202,0.88,0.9312169312169312,0.9675,0.9674013892023372,0.9674013892023372,1,biot
0,100,0,0,100,1.0,1.0,1.0,0.9675,0.9674013892023372,0.9674013892023372,1,biot
0,0,100,0,100,1.0,1.0,1.0,0.9675,0.9674013892023372,0.9674013892023372,1,biot
1,0,0,99,100,0.8918918918918919,0.99,0.9383886255924172,0.9675,0.9674013892023372,0.9674013892023372,1,biot
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,cpx
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,cpx
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,cpx
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,1,cpx
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,glass_maj
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,glass_maj
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,glass_maj
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,1,glass_maj
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,glass_tr
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,glass_tr
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,glass_tr
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,1,glass_tr
100,0,0,0,100,1.0,1.0,1.0,0.9775,0.9774543450487236,0.9774543450487236,1,horn
0,91,9,0,100,1.0,0.91,0.9528795811518324,0.9775,0.9774543450487236,0.9774543450487236,1,horn
0,0,100,0,100,0.9174311926605504,1.0,0.9569377990430622,0.9775,0.9774543450487236,0.9774543450487236,1,horn
0,0,0,100,100,1.0,1.0,1.0,0.9775,0.9774543450487236,0.9774543450487236,1,horn
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,zinc
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,zinc
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,zinc
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,1,zinc
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,no_drop
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,no_drop
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,no_drop
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,2,no_drop
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,plag
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,plag
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,plag
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,2,plag
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,san
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,san
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,san
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,2,san
93,0,0,7,100,1.0,0.93,0.9637305699481864,0.9825,0.9824785362068532,0.9824785362068532,2,biot
0,100,0,0,100,1.0,1.0,1.0,0.9825,0.9824785362068532,0.9824785362068532,2,biot
0,0,100,0,100,1.0,1.0,1.0,0.9825,0.9824785362068532,0.9824785362068532,2,biot
0,0,0,100,100,0.9345794392523364,1.0,0.966183574879227,0.9825,0.9824785362068532,0.9824785362068532,2,biot
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,cpx
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,cpx
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,cpx
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,2,cpx
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,glass_maj
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,glass_maj
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,glass_maj
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,2,glass_maj
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,glass_tr
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,glass_tr
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,glass_tr
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,2,glass_tr
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,horn
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,horn
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,horn
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,2,horn
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,zinc
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,zinc
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,zinc
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,2,zinc
100,0,0,0,100,0.99009900990099,1.0,0.9950248756218906,0.995,0.9949871852856929,0.9949871852856929,3,no_drop
1,98,1,0,100,1.0,0.98,0.98989898989899,0.995,0.9949871852856929,0.9949871852856929,3,no_drop
0,0,100,0,100,0.99009900990099,1.0,0.9950248756218906,0.995,0.9949871852856929,0.9949871852856929,3,no_drop
0,0,0,100,100,1.0,1.0,1.0,0.995,0.9949871852856929,0.9949871852856929,3,no_drop
100,0,0,0,100,0.99009900990099,1.0,0.9950248756218906,0.9925,0.9924738647817354,0.9924738647817354,3,plag
1,97,2,0,100,1.0,0.97,0.9847715736040608,0.9925,0.9924738647817354,0.9924738647817354,3,plag
0,0,100,0,100,0.9803921568627452,1.0,0.99009900990099,0.9925,0.9924738647817354,0.9924738647817354,3,plag
0,0,0,100,100,1.0,1.0,1.0,0.9925,0.9924738647817354,0.9924738647817354,3,plag
100,0,0,0,100,0.99009900990099,1.0,0.9950248756218906,0.9075,0.9087140392957886,0.9087140392957886,3,san
1,89,10,0,100,1.0,0.89,0.9417989417989416,0.9075,0.9087140392957886,0.9087140392957886,3,san
0,0,100,0,100,0.7352941176470589,1.0,0.8474576271186441,0.9075,0.9087140392957886,0.9087140392957886,3,san
0,0,26,74,100,1.0,0.74,0.8505747126436781,0.9075,0.9087140392957886,0.9087140392957886,3,san
92,0,0,8,100,0.71875,0.92,0.8070175438596492,0.8899999999999999,0.887854517717218,0.8878545177172179,3,biot
35,65,0,0,100,1.0,0.65,0.787878787878788,0.8899999999999999,0.887854517717218,0.8878545177172179,3,biot
0,0,100,0,100,1.0,1.0,1.0,0.8899999999999999,0.887854517717218,0.8878545177172179,3,biot
1,0,0,99,100,0.9252336448598132,0.99,0.9565217391304348,0.8899999999999999,0.887854517717218,0.8878545177172179,3,biot
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,3,cpx
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,3,cpx
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,3,cpx
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,3,cpx
100,0,0,0,100,0.99009900990099,1.0,0.9950248756218906,0.995,0.9949871852856929,0.9949871852856929,3,glass_maj
1,98,1,0,100,1.0,0.98,0.98989898989899,0.995,0.9949871852856929,0.9949871852856929,3,glass_maj
0,0,100,0,100,0.99009900990099,1.0,0.9950248756218906,0.995,0.9949871852856929,0.9949871852856929,3,glass_maj
0,0,0,100,100,1.0,1.0,1.0,0.995,0.9949871852856929,0.9949871852856929,3,glass_maj
100,0,0,0,100,0.99009900990099,1.0,0.9950248756218906,0.995,0.9949871852856929,0.9949871852856929,3,glass_tr
1,98,1,0,100,1.0,0.98,0.98989898989899,0.995,0.9949871852856929,0.9949871852856929,3,glass_tr
0,0,100,0,100,0.99009900990099,1.0,0.9950248756218906,0.995,0.9949871852856929,0.9949871852856929,3,glass_tr
0,0,0,100,100,1.0,1.0,1.0,0.995,0.9949871852856929,0.9949871852856929,3,glass_tr
100,0,0,0,100,0.99009900990099,1.0,0.9950248756218906,0.9775,0.977360729578046,0.977360729578046,3,horn
1,91,8,0,100,1.0,0.91,0.9528795811518324,0.9775,0.977360729578046,0.977360729578046,3,horn
0,0,100,0,100,0.925925925925926,1.0,0.9615384615384616,0.9775,0.977360729578046,0.977360729578046,3,horn
0,0,0,100,100,1.0,1.0,1.0,0.9775,0.977360729578046,0.977360729578046,3,horn
100,0,0,0,100,0.99009900990099,1.0,0.9950248756218906,0.995,0.9949871852856929,0.9949871852856929,3,zinc
1,98,1,0,100,1.0,0.98,0.98989898989899,0.995,0.9949871852856929,0.9949871852856929,3,zinc
0,0,100,0,100,0.99009900990099,1.0,0.9950248756218906,0.995,0.9949871852856929,0.9949871852856929,3,zinc
0,0,0,100,100,1.0,1.0,1.0,0.995,0.9949871852856929,0.9949871852856929,3,zinc
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,4,no_drop
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,4,no_drop
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,4,no_drop
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,4,no_drop
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,4,plag
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,4,plag
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,4,plag
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,4,plag
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,4,san
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,4,san
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,4,san
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,4,san
88,0,0,12,100,1.0,0.88,0.9361702127659576,0.97,0.969891609795263,0.969891609795263,4,biot
0,100,0,0,100,1.0,1.0,1.0,0.97,0.969891609795263,0.969891609795263,4,biot
0,0,100,0,100,1.0,1.0,1.0,0.97,0.969891609795263,0.969891609795263,4,biot
0,0,0,100,100,0.8928571428571429,1.0,0.9433962264150944,0.97,0.969891609795263,0.969891609795263,4,biot
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,4,cpx
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,4,cpx
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,4,cpx
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,4,cpx
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,4,glass_maj
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,4,glass_maj
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,4,glass_maj
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,4,glass_maj
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,4,glass_tr
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,4,glass_tr
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,4,glass_tr
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,4,glass_tr
100,0,0,0,100,1.0,1.0,1.0,0.995,0.9949994999499948,0.9949994999499948,4,horn
0,98,2,0,100,1.0,0.98,0.98989898989899,0.995,0.9949994999499948,0.9949994999499948,4,horn
0,0,100,0,100,0.9803921568627452,1.0,0.99009900990099,0.995,0.9949994999499948,0.9949994999499948,4,horn
0,0,0,100,100,1.0,1.0,1.0,0.995,0.9949994999499948,0.9949994999499948,4,horn
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,4,zinc
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,4,zinc
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,4,zinc
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,4,zinc
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,5,no_drop
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,5,no_drop
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,5,no_drop
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,5,no_drop
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,5,plag
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,5,plag
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,5,plag
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,5,plag
100,0,0,0,100,1.0,1.0,1.0,0.995,0.9950121896611772,0.995012189661177,5,san
0,99,1,0,100,1.0,0.99,0.9949748743718592,0.995,0.9950121896611772,0.995012189661177,5,san
0,0,100,0,100,0.9803921568627452,1.0,0.99009900990099,0.995,0.9950121896611772,0.995012189661177,5,san
0,0,1,99,100,1.0,0.99,0.9949748743718592,0.995,0.9950121896611772,0.995012189661177,5,san
96,0,2,2,100,0.9504950495049505,0.96,0.9552238805970148,0.9775,0.9774973385245926,0.9774973385245924,5,biot
4,96,0,0,100,1.0,0.96,0.979591836734694,0.9775,0.9774973385245926,0.9774973385245924,5,biot
0,0,100,0,100,0.9803921568627452,1.0,0.99009900990099,0.9775,0.9774973385245926,0.9774973385245924,5,biot
1,0,0,99,100,0.9801980198019802,0.99,0.9850746268656716,0.9775,0.9774973385245926,0.9774973385245924,5,biot
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,5,cpx
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,5,cpx
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,5,cpx
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,5,cpx
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,5,glass_maj
